carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Convertible / Roadster,Silver,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2007,29800,kilometer,SLR,McLaren,null,null,5439,10,
SUV,Silver,Used,null,RHD,3724 Zuzwil,CH,Mercedes-Benz,2003,126300,kilometer,ML 350, Inspiration,null,null,3724,10,l/100km
Other,Other,Used,null,RHD,4170 Zuzwil,CH,Audi,1997,91900,kilometer,S6, Avant quattro 4.2,null,null,4170,6,l/100km
Limousine,Black,Used,null,RHD,1985 Zuzwil,CH,Saab,2001,134600,kilometer,9-3, 2.0i-16 TS Aero,null,null,1985,9,l/100km
Convertible / Roadster,Black,Used,null,RHD,3600 Zuzwil,CH,Porsche,2008,35500,kilometer,911, Turbo Cabrio,null,null,3600,4,l/100km
Convertible / Roadster,Black,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2003,70000,kilometer,SL 600,SL 600,null,null,5513,4,l/100km
Convertible / Roadster,Other,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2004,23000,kilometer,SL 600,SL 600,null,null,5513,4,l/100km
Other,Silver,Used,null,RHD,6162 Zuzwil,CH,Chevrolet,2008,33000,kilometer,CORVETTE, 6.2,null,null,6162,3,l/100km
Other,Black,Used,null,RHD,1442 Zuzwil,CH,Matra,1979,52000,kilometer,,SIMCA Bagheera Serie II,null,null,1442,2,
Convertible / Roadster,Silver,Used,null,RHD,5733 Zuzwil,CH,Porsche,2006,12000,kilometer,CARRERA GT,Carrera GT,null,null,5733,12,l/100km
Limousine,Anthracite,Used,null,RHD,5981 Zuzwil,CH,Mercedes-Benz,2006,97300,kilometer,S 65 AMG, L,null,null,5981,6,l/100km
Other,Green,Used,null,RHD,0 Zuzwil,CH,Bmw,1982,211000,kilometer,323,Alpina Look,null,null,0,2,
Limousine,Red,Used,null,RHD,0 Zuzwil,CH,Renault,2000,99,kilometer,CLIO,Rennwagen,null,null,0,2,
Convertible / Roadster,Silver,Used,null,RHD,3246 Zuzwil,CH,Bmw,2002,23900,kilometer,M3,M3,null,null,3246,11,l/100km
Limousine,White,Used,null,RHD,6749 Zuzwil,CH,Rolls-Royce,2004,56000,kilometer,PHANTOM, 6.7 V12,null,null,6749,1,l/100km
Convertible / Roadster,Grey,Used,null,RHD,3596 Zuzwil,CH,Porsche,2002,61800,kilometer,911, Carrera Targa,null,null,3596,5,l/100km
Convertible / Roadster,White,Antique Car / Restored,null,RHD,1290 Zuzwil,CH,Alfa Romeo,1970,106000,kilometer,SPIDER,1300 Junior,null,null,1290,3,
Station Wagon,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,47400,kilometer,RS6, Avant quattro,null,null,4172,12,l/100km
Station Wagon,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,47400,kilometer,RS6, Avant quattro,null,null,4172,12,l/100km
Other,Green,Used,null,RHD,1294 Zuzwil,CH,Simca,1976,18200,kilometer,,Rallye2,null,null,1294,11,
Other,Black,Used,null,RHD,2997 Zuzwil,CH,Honda,1998,186000,kilometer,ACCORD, Coupé V6 3.0i VTEC,null,null,2997,7,l/100km
Limousine,Silver,Used,null,RHD,5998 Zuzwil,CH,Vw,2002,31300,kilometer,PHAETON, 6.0 W12 4Motion,null,null,5998,11,l/100km
Other,Silver,Used,null,RHD,2664 Zuzwil,CH,Renault,1982,31000,kilometer,ALPINE, A310 V6,null,null,2664,10,
Convertible / Roadster,Black,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2002,31200,kilometer,SL 55 AMG,SL 55 AMG,null,null,5439,4,l/100km
Station Wagon,Black,Used,null,RHD,4163 Zuzwil,CH,Audi,2013,34200,kilometer,RS4, Avant 4.2 FSI quattro,null,null,4163,3,l/100km
Limousine,Black,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,1997,58000,kilometer,S 320,S 320,null,null,3199,8,l/100km
Limousine,Purple,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,1999,32000,kilometer,S 500,S 500,null,null,4966,10,l/100km
Limousine,Green,Used,null,RHD,2301 Zuzwil,CH,Bmw,1987,195800,kilometer,M3,M3,null,null,2301,2,
Convertible / Roadster,Grey,Used,null,RHD,1796 Zuzwil,CH,Mercedes-Benz,2011,13800,kilometer,SLK 200,SLK 200,null,null,1796,5,l/100km
Station Wagon,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,100200,kilometer,RS6, Avant quattro,null,null,4172,8,l/100km
Convertible / Roadster,Black,Used,null,RHD,698 Zuzwil,CH,Smart,2003,165000,kilometer,FORTWO, passion,null,null,698,7,l/100km
Convertible / Roadster,Red,Used,null,RHD,3496 Zuzwil,CH,Ferrari,1998,67000,kilometer,F355, Spider,null,null,3496,10,l/100km
Convertible / Roadster,Silver,Used,null,RHD,6761 Zuzwil,CH,Rolls-Royce,2002,42000,kilometer,CORNICHE,,null,null,6761,6,l/100km
SUV,Grey,Used,null,RHD,4398 Zuzwil,CH,Bmw,2001,113000,kilometer,X5, 4.4i,null,null,4398,1,l/100km
Limousine,Grey,Used,null,RHD,3980 Zuzwil,CH,Bmw,1995,65400,kilometer,740,i,null,null,3980,7,
Limousine,Silver,Used,null,RHD,3430 Zuzwil,CH,Bmw-Alpina,1985,157000,kilometer,5 SERIES,B7 (E28),null,null,3430,7,
Compact Van,Black,Used,null,RHD,2035 Zuzwil,CH,Mercedes-Benz,2006,60500,kilometer,B 200, T Sailing Edition,null,null,2035,8,l/100km
Station Wagon,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,42600,kilometer,RS6, Avant quattro,null,null,4172,6,l/100km
Other,Other,Used,null,RHD,3586 Zuzwil,CH,Ferrari,1999,30300,kilometer,F360, Modena Berlinetta,null,null,3586,8,l/100km
Other,Black,Used,null,RHD,5474 Zuzwil,CH,Ferrari,1996,52800,kilometer,456, GTA,null,null,5474,12,
Limousine,Black,Used,null,RHD,2494 Zuzwil,CH,Bmw,2002,125900,kilometer,525,i,null,null,2494,2,l/100km
